can	MD	O
you	PRP	O
tell	NN	O
me	PRP	O
GST	NN	B-keyword
no	DT	O
of	IN	O
AIL	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
of	IN	O
ABBOTT	NN	B-keyword
INDIA	NN	I-keyword
LIMITED	JJ	I-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
of	IN	O
ail	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
of	IN	O
ABBOTT	NN	B-keyword
HEALTHCARE	NN	I-keyword
PRIVATE	NN	I-keyword
LIMITED	JJ	I-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
of	IN	O
ahpl	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
of	IN	O
AHPL	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
of	IN	O
AIL	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
IN	NN	O
of	IN	O
ABBOTT	NN	B-keyword
INDIA	NN	I-keyword
LIMITED	JJ	I-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
IN	NN	O
of	IN	O
ail	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
IN	NN	O
of	IN	O
ABBOTT	NN	B-keyword
HEALTHCARE	NN	I-keyword
PRIVATE	NN	I-keyword
LIMITED	JJ	I-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
IN	NN	O
of	IN	O
ahpl	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
IN	NN	O
of	IN	O
AHPL	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
IN	NN	O
of	IN	O
AIL	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
goods	NNS	B-keyword
and	CC	I-keyword
services	NNS	I-keyword
tax	NN	I-keyword
of	IN	O
ABBOTT	NN	B-keyword
INDIA	NN	I-keyword
LIMITED	JJ	I-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
goods	NNS	B-keyword
and	CC	I-keyword
services	NNS	I-keyword
tax	NN	I-keyword
of	IN	O
ail	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
goods	NNS	B-keyword
and	CC	I-keyword
services	NNS	I-keyword
tax	NN	I-keyword
of	IN	O
ABBOTT	NN	B-keyword
HEALTHCARE	NN	I-keyword
PRIVATE	NN	I-keyword
LIMITED	JJ	I-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
goods	NNS	B-keyword
and	CC	I-keyword
services	NNS	I-keyword
tax	NN	I-keyword
of	IN	O
ahpl	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
goods	NNS	B-keyword
and	CC	I-keyword
services	NNS	I-keyword
tax	NN	I-keyword
of	IN	O
AHPL	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
goods	NNS	B-keyword
and	CC	I-keyword
services	NNS	I-keyword
tax	NN	I-keyword
of	IN	O
AIL	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
number	NN	O
of	IN	O
ABBOTT	NN	B-keyword
INDIA	NN	I-keyword
LIMITED	JJ	I-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
number	NN	O
of	IN	O
ail	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
number	NN	O
of	IN	O
ABBOTT	NN	B-keyword
HEALTHCARE	NN	I-keyword
PRIVATE	NN	I-keyword
LIMITED	JJ	I-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
number	NN	O
of	IN	O
ahpl	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
number	NN	O
of	IN	O
AHPL	NN	B-keyword

I	PRP	O
want	NN	O
to	TO	O
know	VB	O
GST	NN	B-keyword
number	NN	O
of	IN	O
AIL	NN	B-keyword

